"CID","CanonicalSMILES","IsomericSMILES"
2210370,"CC1=C(C=C(C=C1)Cl)N(CC(=O)NC2=C(C=CC=C2F)F)S(=O)(=O)C","CC1=C(C=C(C=C1)Cl)N(CC(=O)NC2=C(C=CC=C2F)F)S(=O)(=O)C"
2250975,"C1=CC(=C(C(=C1)Cl)Cl)OCCCNCCO","C1=CC(=C(C(=C1)Cl)Cl)OCCCNCCO"
2723601,"C1=NC2=C(N1)C(=S)N=C(N2)N","C1=NC2=C(N1)C(=S)N=C(N2)N"
2724387,"C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=S)N","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=S)N"
2733079,"CC1=CC=C(C=C1)N2C(=O)N(C(=O)S2)CC3=CC=C(C=C3)F","CC1=CC=C(C=C1)N2C(=O)N(C(=O)S2)CC3=CC=C(C=C3)F"
2733526,"CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3","CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3"
2747117,"C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-]","C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-]"
2757788,"C1=CC(=CC=C1N=C(N)N)Cl","C1=CC(=CC=C1N=C(N)N)Cl"
2779853,"C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]","C1=CC(=CC2=C1C=CS2(=O)=O)[N+](=O)[O-]"
2817763,"C1=C(C(=NC(=C1SC#N)N)N)SC#N","C1=C(C(=NC(=C1SC#N)N)N)SC#N"
2819993,"CC(=O)C1=CC(=C(S1)SC2=C(C(=CC=C2)Cl)Cl)[N+](=O)[O-]","CC(=O)C1=CC(=C(S1)SC2=C(C(=CC=C2)Cl)Cl)[N+](=O)[O-]"
2930014,"CC(=O)NC1=NN(C(S1)(C)C2=CC=CC=C2)C(=O)C","CC(=O)NC1=NN(C(S1)(C)C2=CC=CC=C2)C(=O)C"
3000518,"CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)O)C","C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C"
3001055,"CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C"
3002820,"C1C(SC(=C(C#N)N2C=CN=C2)S1)C3=CC=CC=C3Cl","C1C(S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=CC=CC=C3Cl"
3005573,"CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3","CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3"
3011155,"COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N","COC1=NC(=NC2=C1N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N"
3025986,"CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3","CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3"
3033637,"CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C"
3033769,"CCN1CCCC1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O","CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O"
3035714,"COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O","COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O"
3038522,"CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5","CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5"
3051965,"C1C(CN(C1=O)CC(=O)N)O","C1[C@H](CN(C1=O)CC(=O)N)O"
3062316,"CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO","CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO"
3078519,"CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC","C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@@H](NC6=O)O)NC)OC"
3080554,"C1=CC(=C(N=C1)C(=O)O)CC(=O)O","C1=CC(=C(N=C1)C(=O)O)CC(=O)O"
3081361,"CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC","CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC"
3085017,"C=CCN.C1C(O1)CCl","C=CCN.C1C(O1)CCl"
3101542,"CCOC1=CC=CC=C1N=NC2=C(NN(C2=O)C3=NC(=CS3)C4=CC=CC=C4)C","CCOC1=CC=CC=C1N=NC2=C(NN(C2=O)C3=NC(=CS3)C4=CC=CC=C4)C"
3103157,"CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=CC=C(C=C3)[N+](=O)[O-])C(=O)OC4CCCCC4","CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=CC=C(C=C3)[N+](=O)[O-])C(=O)OC4CCCCC4"
